Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
-23.94349293,46.52292278,-12.00716063,11.68440686,42.54107236,0.096689605,69.91573164,-23.40586429,-42.69045724,-36.71318155,59.14081966,-28.14591334,9.737544667,38.38837197,-6.782591377,60.61401847,3.690389641,-4.128044044
-23.94420135,46.52383555,-11.99965878,11.69287884,42.51050089,0.145136483,69.87914668,-23.35757118,-42.66594638,-36.85470877,59.13565082,-28.23966587,9.787047932,38.37454913,-6.803889923,60.81118175,3.65706283,-4.037088107
-23.93355524,46.52904738,-11.97686578,11.69128022,42.50287863,0.183584271,69.85570557,-23.31772211,-42.66576219,-36.81350059,59.0895793,-28.23135034,9.842695269,38.43003103,-6.738348601,60.6793268,3.70573202,-4.180932598
-23.938133,46.53452878,-11.96545599,11.7159829,42.49452348,0.259930512,69.84407579,-23.28567502,-42.67114995,-36.82051683,59.05136949,-28.21176015,9.884248146,38.47550248,-6.730274113,60.5190048,3.76542142,-4.284148819
-23.93998047,46.53089052,-11.95101115,11.74336391,42.48003138,0.306595995,69.82982339,-23.25108649,-42.66884744,-36.81647339,59.03144953,-28.23023446,9.918991576,38.48542826,-6.696013607,60.73139036,3.7262997,-4.289651113
-23.9295349,46.53192847,-11.92777893,11.74258383,42.46446533,0.33659001,69.81393425,-23.2292014,-42.67476875,-36.82117728,59.0090429,-28.25193825,9.957414987,38.50655396,-6.657742407,60.54368648,3.750006742,-4.297158899
-23.93199306,46.53130199,-11.91667731,11.74670306,42.45109858,0.370095075,69.78960481,-23.18682116,-42.69107362,-36.91478924,58.96283425,-28.34518051,10.03888289,38.52901096,-6.622756102,60.41816328,3.802406063,-4.287532242
-23.92487533,46.53019233,-11.90430462,11.72723106,42.45611148,0.375376632,69.79484361,-23.17346146,-42.71785724,-36.92865066,59.01144593,-28.38354883,10.03405054,38.4848475,-6.585222823,60.60940563,3.715727634,-4.253657292
-23.91347724,46.53416152,-11.8843087,11.71280599,42.45836379,0.388453495,69.77152354,-23.16033641,-42.73252186,-36.98205057,59.03310447,-28.45807548,10.08359848,38.44892956,-6.533643979,60.51299752,3.688893357,-4.281336042
-23.87195008,46.5425806,-11.84261107,11.69856454,42.46425442,0.425891574,69.75561435,-23.1307337,-42.75770949,-36.80874372,59.05363275,-28.29148362,10.00988214,38.47747192,-6.500297261,60.67997762,3.610787679,-4.239732853
