Right_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_AnkleRot,Right_Ankleprog,Right_Ankledors,Left_KneeIntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_Hip_IntExt,Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_AnkleRot,Left_Ankleprog,Left_Ankledors
-1.128317803,-12.0354356,1.477850797,-8.594192725,7.005788436,-0.308317889,140.7874275,65.91649079,-20.28599466,-1.042861212,-4.395884403,-40.12920479,6.565178482,7.483252598,5.828118613,67.05089354,24.08721897,-1.234674672
-1.226070537,-11.66413851,1.495206045,-8.703562103,7.159390074,-0.395557689,140.3790452,65.63606612,-20.56238697,-0.987079177,-4.463357163,-40.0880721,6.494142709,7.419748458,5.829600405,67.05775354,24.1230678,-1.24633341
-1.324257484,-11.29174418,1.515650439,-8.813486158,7.301038293,-0.481319432,139.9483571,65.36142554,-20.84736005,-0.933894787,-4.535124071,-40.05119057,6.427170784,7.348528017,5.828015445,67.06809541,24.16646722,-1.254168861
-1.427857953,-10.91768662,1.53826292,-8.9163855,7.436544057,-0.565537947,139.4926153,65.09542364,-21.13696581,-0.885882815,-4.608704789,-40.01294583,6.36573749,7.275881,5.824202769,67.08366118,24.21070642,-1.262462671
-1.535627268,-10.54288919,1.56097402,-9.014165113,7.564912548,-0.647821606,139.0170252,64.839301,-21.42883258,-0.843253339,-4.681140749,-39.97404522,6.308936233,7.199696614,5.818156155,67.09967931,24.25603261,-1.269740336
-1.6449598,-10.16366662,1.587182879,-9.111843195,7.686190324,-0.728886944,138.5188983,64.58798977,-21.72219826,-0.804176261,-4.750023221,-39.9342681,6.255987445,7.121454305,5.81164568,67.11522748,24.30142409,-1.273987151
-1.762119103,-9.781899845,1.612977227,-9.203736127,7.800113711,-0.805516309,137.9995781,64.339931,-22.01694789,-0.764497543,-4.824293353,-39.89515831,6.204552344,7.042854826,5.806776646,67.136116,24.34885197,-1.279563004
-1.883749828,-9.397237362,1.638700664,-9.28753487,7.905506545,-0.879487371,137.4629989,64.09317465,-22.31269401,-0.726506819,-4.900544271,-39.85532295,6.159450425,6.960778007,5.801291989,67.1587357,24.39532843,-1.28376146
-2.007607627,-9.008048703,1.664473924,-9.368166704,8.002974508,-0.949953351,136.9119496,63.84923837,-22.60780713,-0.688971705,-4.979575366,-39.8167771,6.11867181,6.874974018,5.796143303,67.18189461,24.44239785,-1.287069561
-2.132801748,-8.61319185,1.691389903,-9.447509516,8.096080931,-1.0177562,136.3453359,63.61007649,-22.90001291,-0.656859139,-5.059493301,-39.7780125,6.079605681,6.790833904,5.788750801,67.20627926,24.49468486,-1.293967232
-2.262603328,-8.217245036,1.719150146,-9.522243548,8.183537452,-1.082508978,135.765116,63.37857776,-23.18806096,-0.622811243,-5.139962204,-39.7409845,6.042951056,6.703110651,5.782322275,67.2341481,24.54582238,-1.29371219
-2.395383597,-7.816636394,1.747214036,-9.594330005,8.26780112,-1.143071491,135.1709852,63.15708944,-23.46817916,-0.589929917,-5.218486485,-39.70484342,6.008240018,6.614020311,5.776571882,67.26352607,24.59549134,-1.288633268
-2.526513238,-7.631569371,1.77232383,-9.664860452,8.346814205,-1.20013852,134.7761656,62.94935849,-23.72537286,-0.488435028,-5.600947957,-39.43983468,5.915675253,6.763093824,5.526678741,67.28929208,24.63859554,-1.281654286
