Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-24.39310347,-43.86968821,68.03470731,47.08622933,-22.37229573,-10.84327893,48.32585628,10.64324609,2.114598841,4.870632361,-3.949261181,55.94425475,56.27349999,-35.69677742,-27.07405858,39.8442488,14.16438086,-4.739383769
-24.39074705,-43.86316256,68.06354406,47.08965257,-22.36511625,-10.84270624,48.33767038,10.65339772,2.144773954,4.85143075,-4.125094337,55.85822906,56.2240865,-35.70423083,-27.08422078,39.89077955,14.190945,-4.743842871
-24.36913539,-43.84464621,68.04211818,47.08413719,-22.36409326,-10.86286586,48.33022577,10.69392421,2.186829492,4.844988474,-4.325794681,55.9547463,56.19346748,-35.64631479,-27.00706822,39.94361701,14.16007227,-4.766194107
-24.34101935,-43.82897746,68.0121998,47.08447859,-22.35416312,-10.86030946,48.31837303,10.71768436,2.230791124,4.724750542,-4.348920944,55.81006502,56.17952618,-35.68403309,-27.05191341,39.94221101,14.20394006,-4.762959023
-24.36759027,-43.8530899,68.05497897,47.08632637,-22.33097508,-10.84755569,48.33651234,10.67030307,2.19850801,4.771463748,-4.406519364,55.67343477,56.19691463,-35.6230307,-27.01389133,39.9382846,14.1785796,-4.742297492
-24.40575818,-43.87247219,68.09720335,47.08764991,-22.3177623,-10.84464362,48.35743003,10.65842755,2.185565002,4.630066601,-4.331892048,55.58627483,56.22177035,-35.56064517,-26.96124629,39.93884608,14.12942607,-4.756041233
-24.41325592,-43.85746949,68.08695258,47.09068693,-22.30907481,-10.83521811,48.37829598,10.65478345,2.176646832,4.700576795,-4.396482024,55.77478126,56.23032652,-35.55961868,-27.02724727,39.92122606,14.18128411,-4.68197826
-24.37951834,-43.80168631,68.01077818,47.09066691,-22.28401791,-10.82987042,48.3420262,10.70762892,2.251614461,4.642954378,-4.368508365,55.40760349,56.27011461,-35.50291334,-27.00208324,39.91211719,14.43811811,-4.482681303
-24.37568173,-43.77149512,67.97301621,47.08750697,-22.27814545,-10.826868,48.3116968,10.72945143,2.262148038,4.712539687,-4.431683353,55.55736266,56.23104105,-35.45946455,-26.97414924,39.95157209,14.44510228,-4.462336335
-24.37695195,-43.7886412,67.99586038,47.0867625,-22.27910341,-10.82959902,48.32372483,10.71329749,2.256957519,4.767682414,-4.425859406,55.72264306,56.18915615,-35.3863112,-26.96412488,39.99278417,14.48296721,-4.38062931
