Left_Ankledors,Left_Ankleprog,Left_AnkleRot,Left_Hip_AbdAdd,Left_Hip_FlexExt,Left_Hip_IntExt,Left_KneeAbdAdd,Left_KneeFlexExt,Left_KneeIntExt,Right_Ankledors,Right_Ankleprog,Right_AnkleRot,Right_Hip_AbdAdd,Right_Hip_FlexExt,Right_Hip_IntExt,Right_KneeAbdAdd,Right_KneeFlexExt,Right_KneeIntExt
-14.91473755,45.56930929,53.30294047,-1.385888271,6.526772277,7.676180993,-48.73312566,23.71900846,-21.2496854,5.170070982,86.91030738,148.7115442,-0.802333185,-6.312740416,1.464723965,-14.6017952,-20.46881409,3.607331478
-14.84341627,45.65981738,53.37496033,-1.370567854,6.564839703,7.644286882,-48.66689846,23.72366762,-21.2121539,5.207565961,86.97398269,148.5499556,-0.456291587,-6.189225661,1.296374361,-14.79862709,-20.73422158,3.910288792
-14.7850858,45.69168654,53.42454168,-1.355940307,6.603781756,7.609665546,-48.53678091,23.72901113,-21.16008384,5.254360539,87.04177426,148.4019868,-0.109676796,-6.072488739,1.12078253,-14.99010536,-20.9996174,4.228730351
-14.73805478,45.655546,53.46041063,-1.341935197,6.640962083,7.574204001,-48.34007097,23.72630449,-21.08610657,5.311841654,87.105933,148.2669202,0.234407794,-5.962740996,0.937696434,-15.17147277,-21.26689595,4.557911111
-14.71231646,45.54945885,53.49065273,-1.329217804,6.680023808,7.535279706,-48.07878359,23.70067402,-20.98266704,5.390957963,87.16639858,148.1537467,0.572064211,-5.852106128,0.750886965,-15.34212658,-21.54127437,4.894915144
-14.71774659,45.3807804,53.52581702,-1.317457268,6.721500608,7.495316808,-47.75408954,23.63878917,-20.8459983,5.488522166,87.23119512,148.0680749,0.905990349,-5.742701178,0.561772208,-15.50646584,-21.81936938,5.236677641
-14.75769726,45.17005139,53.59353665,-1.307501745,6.762386442,7.450985729,-47.38605262,23.50096785,-20.657022,5.596779538,87.3000386,148.0020946,1.234790053,-5.634035947,0.369567946,-15.6614502,-22.10377335,5.584387698
-14.83618082,44.9344668,53.80206544,-1.300780856,6.804685527,7.402180574,-47.02265054,23.13656338,-20.32197177,5.724868081,87.37786243,147.9695597,1.553304648,-5.522880719,0.173625849,-15.80481714,-22.39614092,5.936611563
-14.95085506,44.68514934,54.07697727,-1.297314895,6.846783119,7.350563906,-46.64709078,22.64825305,-19.92525705,5.860207738,87.45673266,147.9560484,1.861494599,-5.407675047,-0.022587812,-15.93493015,-22.69557583,6.289682434
-15.09330831,44.42916225,54.37542652,-1.296494937,6.885688117,7.298041914,-46.2562832,22.10662225,-19.52130326,6.004800484,87.53569889,147.9583805,2.156351713,-5.288444823,-0.221918649,-16.04743313,-23.00602432,6.645849314
-15.2671894,44.17381104,54.68997878,-1.29811406,6.92117105,7.239866732,-45.85483364,21.52529828,-19.12882516,6.157896269,87.61250826,147.9757277,2.437016143,-5.165004612,-0.422744263,-16.14294281,-23.32465978,7.000217998
-15.47373969,43.92199416,55.01036171,-1.302396022,6.952011989,7.180774405,-45.44083361,20.92013937,-18.76566692,6.316146805,87.68759662,148.0042051,2.702308232,-5.034940952,-0.622489437,-16.21963339,-23.65448592,7.351255399
-15.70844559,43.67415211,55.33183228,-1.305388076,6.978159641,7.120013915,-45.01672036,20.29769127,-18.43461222,6.481685177,87.76276861,148.0447681,2.711313885,-4.801509712,-0.761773395,-16.07566731,-24.0440945,7.543928331
-15.9542615,43.43008227,55.64806549,-1.311507129,7.000414944,7.0598161,-44.58694641,19.67148402,-18.13434046,6.650012526,87.8352125,148.0847123,2.719439727,-4.570688529,-0.898002564,-15.92691851,-24.43356531,7.732899561
-16.19355314,43.19029055,55.95798677,-1.31882409,7.01541347,6.996340036,-44.16638093,19.04499661,-17.85268172,6.816091588,87.90482918,148.1188655,2.726606323,-4.341386301,-1.031667416,-15.77340561,-24.82396352,7.918653997
