Left_Hip_FlexExt,Left_Hip_AbdAdd,Left_Hip_IntExt,Right_Hip_FlexExt,Right_Hip_AbdAdd,Right_Hip_IntExt,Left_KneeFlexExt,Left_KneeAbdAdd,Left_KneeIntExt,Right_KneeFlexExt,Right_KneeAbdAdd,Right_KneeIntExt,Left_AnkleRot,Left_Ankledors,Left_Ankleprog,Right_AnkleRot,Right_Ankledors,Right_Ankleprog
126.5057641,-79.46994103,-118.4249137,-174.6694593,-54.99317505,177.1639184,-40.94795271,12.92421386,15.04625007,10.55094298,6.824747202,1.933863556,101.9865952,-36.64805063,-79.39451442,35.29757197,-3.92241555,-39.22948412
116.0744826,-77.73059258,-107.7785217,-176.8881694,-55.55003119,178.8009869,-41.65140058,12.19893507,15.18161899,11.49682678,6.741991887,1.136982257,101.3172481,-33.56588588,-78.87903389,35.60503719,-4.68878323,-38.83317019
109.414664,-75.63524691,-101.0271671,-178.8375834,-56.48074075,179.672386,-41.23898355,11.91526448,15.04585694,12.50367026,6.295733805,0.261815927,100.6724877,-30.27163884,-78.77530258,35.92432461,-5.589445484,-38.35713163
105.2755413,-73.48062309,-96.62180475,-179.2917578,-57.58436221,178.2696916,-39.73647654,12.16318054,14.57831072,13.46954102,5.703098838,-0.503281179,100.6127358,-26.44126321,-79.40987982,36.35459385,-6.421914657,-37.93672043
102.4516256,-71.42323462,-93.51920505,-177.42412,-58.62154792,176.9050404,-37.25596841,12.38313095,13.92407841,14.43048277,5.190523869,-1.203326412,100.3748338,-22.40427018,-80.10044147,36.82372936,-7.242064,-37.64202765
100.0291686,-69.43619348,-90.81381871,-175.6688866,-59.43478817,175.586167,-33.85441558,12.65599342,13.36619711,15.41841167,4.89132583,-1.833790822,99.49747995,-18.34309302,-80.9742966,37.15254742,-8.117264153,-37.39953885
97.88773834,-67.57880424,-88.34530485,-174.1061918,-59.74645135,174.5496152,-29.58658545,12.7835755,12.65721311,16.15561006,4.889874669,-2.248979528,97.77948751,-14.89664235,-81.92115689,37.5549046,-8.876077673,-37.16117952
95.75628334,-66.05664309,-86.01707669,-172.5951053,-59.67309735,173.7826682,-24.89579416,12.43882166,11.72236559,16.69557353,5.239626967,-2.638728473,95.57352777,-12.41158997,-82.70787984,37.96522413,-9.515410517,-37.04657591
93.70297956,-64.74712173,-84.01521365,-171.5155529,-59.60256346,173.5672345,-20.37811738,11.90876942,11.27696292,16.90419333,5.529064855,-3.211983106,93.78129512,-10.24008696,-82.99523162,38.3994577,-10.14089701,-36.90363701
91.92095975,-63.64895684,-82.48331312,-170.6703287,-59.61207123,173.5206164,-15.74127941,11.44026446,11.15289694,16.96584769,5.656393009,-3.829729415,91.94688837,-8.564437957,-82.83493367,38.76400654,-10.72396401,-36.71465571
90.80215736,-62.93399816,-81.71595176,-169.4942703,-59.75594981,173.0183768,-10.87520265,11.50878966,11.08741309,17.0149145,5.587868082,-4.584873285,90.06698915,-7.362635087,-82.54442671,39.14381727,-11.30664271,-36.44370769
90.33038872,-62.67334071,-81.45773494,-168.1487657,-59.89052593,172.0652458,-5.912560169,11.99977281,10.88523535,16.96896334,5.628328283,-5.057758675,88.06326643,-6.392345241,-82.01896912,39.5617756,-11.95007458,-36.41213851
89.73820362,-62.70573468,-80.94248402,-166.3612091,-59.94832297,170.5602915,-0.925123023,12.3591596,10.6806949,16.92033282,5.682701515,-5.508078886,85.82542082,-5.745824512,-81.29361197,40.01189454,-12.62267137,-36.29789132
88.68284837,-62.58514614,-79.95479385,-164.1871993,-59.84908548,168.7077934,3.634714515,12.07334436,10.34229844,17.01707146,5.631517368,-6.137779846,83.63360355,-5.728875717,-80.38985434,40.42188669,-13.36422616,-35.91074602
87.75769388,-62.10582207,-78.84729908,-161.7790305,-59.73580747,166.7778748,7.233771279,11.25490547,9.734275271,16.97485315,5.427360771,-6.818338628,81.53644259,-6.070348557,-79.19323687,40.9005203,-14.06180384,-35.37982662
87.5770187,-61.40477124,-78.12303032,-158.6848558,-59.62946878,164.4591002,10.20172342,10.34833927,9.034669451,17.20234979,5.155396438,-7.545865422,79.64904042,-6.175428148,-78.1027569,41.36236531,-14.7941729,-34.8126298
87.77697291,-60.8669692,-77.52375643,-155.583561,-59.50758307,162.0321527,12.70683766,9.465355649,8.157350542,17.44620405,4.933254693,-8.244447323,78.31790687,-6.170995476,-77.19628118,41.80937685,-15.72200932,-34.14950941
88.30582313,-59.89385629,-77.47719426,-152.9761387,-59.30788497,159.8595966,13.96707029,8.320300799,7.776975086,17.4909927,4.830711871,-8.900820691,77.47954916,-5.755728344,-76.32562264,42.1847616,-16.76139293,-33.25024671
89.02452338,-58.6858712,-77.82102808,-150.8500046,-59.14601805,158.0293813,14.07545974,7.25372701,7.952188194,17.18769736,4.794195732,-9.503299678,77.06908202,-5.407644263,-75.759036,42.40772718,-17.85805619,-32.16739239
90.34916815,-57.54642838,-78.78482706,-149.7141868,-59.21158695,157.1900483,13.27616289,6.449803894,8.410934763,16.24574572,4.835583389,-10.3258862,77.43756546,-5.82137289,-75.22033589,42.73666781,-19.14781612,-30.9781331
92.30749339,-56.30409773,-80.05153838,-149.7136039,-59.66208031,157.7399989,11.3988365,5.830113766,8.976969386,14.59590445,4.908533307,-11.23771943,78.7598995,-6.634975351,-74.62841427,42.75767054,-20.47891119,-29.86809035
94.4618236,-54.27109486,-81.49236841,-151.1305232,-60.64337326,159.6862169,7.858924497,5.299722977,9.872434332,11.88628025,4.708240485,-12.54057349,79.96547406,-7.317335937,-74.38497942,42.62477026,-22.16134726,-28.53352284
96.58239162,-53.11496474,-82.91505129,-152.1066234,-61.72757479,161.3872155,4.526803236,5.654480788,10.98349744,9.306025535,4.278333768,-13.98328608,80.59105676,-8.094955366,-74.90206362,41.98360361,-24.21067783,-26.98705443
98.55054036,-55.93411619,-83.66642959,-152.6173447,-62.98082451,162.6059391,4.667248203,7.30608747,11.64199263,6.912075609,3.586553262,-15.46328801,80.40345723,-9.287532072,-75.77737986,40.66583539,-26.49266446,-24.88794592
100.4152541,-59.38146999,-84.36852691,-153.357901,-64.48434404,163.6636318,6.228099236,10.52192847,12.33617021,4.50316862,2.795692333,-16.595233,80.17860179,-11.21600346,-78.35514719,38.28041644,-28.93133575,-22.254349
98.65581887,-59.0138942,-82.36815499,-153.5090075,-66.56621402,163.8603881,4.161090465,11.21695746,13.58116169,2.307697322,1.722268266,-17.49012828,80.05689414,-9.996319415,-81.29281957,34.85767781,-31.61493699,-18.93915733
